worker_id,tasks_assigned,tasks_completed,completion_ratio,avg_difficulty,locality_rating,citizen_rating,predicted_score
44,5,5,1.0,5,4,2,0.8801033333333349
128,16,12,0.75,5,5,5,0.8590866666666661
85,5,4,0.8,5,5,3,0.8205099999999977
112,19,15,0.7894736842105263,5,5,3,0.8205099999999977
79,16,11,0.6875,5,4,5,0.8159600000000035
13,18,16,0.8888888888888888,4,2,4,0.8094166666666673
124,17,17,1.0,4,2,4,0.8094166666666673
16,14,13,0.9285714285714286,4,4,1,0.8084833333333353
48,19,18,0.9473684210526315,4,4,1,0.8084833333333353
36,13,13,1.0,5,1,3,0.8017266666666689
7,16,15,0.9375,3,4,4,0.7986600000000019
145,5,4,0.8,5,3,5,0.7899033333333366
111,11,11,1.0,4,3,2,0.7867533333333364
65,16,13,0.8125,5,3,4,0.7726733333333364
88,18,13,0.7222222222222222,4,5,4,0.7718933333333352
86,16,15,0.9375,3,5,1,0.7700033333333338
115,7,6,0.8571428571428571,5,3,3,0.7596966666666681
61,16,13,0.8125,5,3,3,0.7596966666666681
106,11,7,0.6363636363636364,5,4,1,0.7419966666666673
89,14,9,0.6428571428571429,5,4,1,0.7419966666666673
105,7,7,1.0,4,2,1,0.7411966666666661
6,16,16,1.0,3,3,2,0.7268066666666645
87,17,13,0.7647058823529411,4,5,1,0.7160833333333311
116,6,6,1.0,4,1,2,0.7154533333333299
102,6,4,0.6666666666666666,3,5,4,0.7142799999999987
28,14,11,0.7857142857142857,5,3,1,0.709303333333332
134,12,9,0.75,4,4,2,0.7011199999999989
15,19,17,0.8947368421052632,2,4,2,0.7008000000000012
29,8,3,0.375,5,5,3,0.693786666666665
109,10,10,1.0,3,1,4,0.6915033333333331
141,6,6,1.0,1,3,5,0.6832833333333305
135,12,9,0.75,4,2,4,0.6744600000000015
123,14,9,0.6428571428571429,3,3,5,0.6690766666666693
114,9,9,1.0,2,2,5,0.6677866666666697
17,18,7,0.3888888888888889,5,5,2,0.666966666666669
69,14,14,1.0,2,3,2,0.6658233333333351
3,15,7,0.4666666666666667,5,4,3,0.6535800000000015
58,6,5,0.8333333333333334,3,5,1,0.6522733333333348
77,19,16,0.8421052631578947,4,2,3,0.6505933333333355
56,10,7,0.7,4,3,1,0.6467233333333343
14,6,5,0.8333333333333334,2,4,5,0.6452766666666682
108,18,16,0.8888888888888888,1,4,1,0.6439433333333355
51,11,11,1.0,2,1,4,0.6412933333333343
22,9,9,1.0,2,1,4,0.6412933333333343
52,16,16,1.0,2,1,4,0.6412933333333343
98,17,11,0.6470588235294118,2,5,3,0.6382233333333353
140,15,12,0.8,5,1,1,0.6377000000000004
133,16,9,0.5625,4,4,5,0.6375033333333319
142,14,14,1.0,1,3,3,0.6353199999999986
24,11,6,0.5454545454545454,5,3,4,0.63191
32,9,5,0.5555555555555556,4,4,4,0.6195199999999994
139,9,8,0.8888888888888888,2,2,2,0.6173333333333326
23,11,8,0.7272727272727273,4,2,1,0.6105699999999977
38,5,5,1.0,1,2,4,0.603269999999999
18,19,12,0.631578947368421,1,5,5,0.5960099999999976
117,14,11,0.7857142857142857,1,5,5,0.5960099999999976
37,14,11,0.7857142857142857,3,1,4,0.5842833333333327
129,10,4,0.4,3,4,5,0.579146666666665
144,7,6,0.8571428571428571,1,5,4,0.5783166666666666
33,16,10,0.625,2,4,1,0.5763699999999982
2,9,6,0.6666666666666666,2,3,3,0.5585633333333343
72,10,6,0.6,5,2,2,0.556120000000002
101,13,6,0.46153846153846156,4,2,5,0.5517366666666674
146,11,4,0.36363636363636365,5,5,2,0.5407333333333344
1,11,3,0.2727272727272727,5,3,5,0.5397533333333344
8,13,2,0.15384615384615385,5,3,5,0.5397533333333344
122,10,2,0.2,5,4,3,0.5323166666666687
125,16,7,0.4375,5,1,1,0.5273400000000025
42,5,2,0.4,2,5,4,0.5267200000000006
100,14,9,0.6428571428571429,2,2,3,0.5258900000000017
46,16,5,0.3125,5,3,4,0.5221066666666685
12,19,6,0.3157894736842105,4,5,3,0.514923333333335
126,7,4,0.5714285714285714,4,1,4,0.5146333333333334
131,6,6,1.0,1,1,1,0.5120566666666676
60,8,7,0.875,3,1,1,0.5107466666666673
93,8,7,0.875,2,1,4,0.5095166666666668
35,18,12,0.6666666666666666,1,3,3,0.5049300000000004
30,17,3,0.17647058823529413,5,3,3,0.5028100000000005
110,16,8,0.5,3,4,1,0.4963199999999987
80,8,2,0.25,4,5,2,0.4930666666666674
41,6,1,0.16666666666666666,4,5,1,0.48616333333333417
10,16,13,0.8125,2,2,1,0.4857200000000003
20,12,7,0.5833333333333334,3,3,1,0.48264333333333287
25,12,5,0.4166666666666667,3,3,1,0.48264333333333287
26,7,4,0.5714285714285714,3,1,5,0.47742666666666705
118,12,9,0.75,1,2,3,0.4716066666666655
113,16,3,0.1875,5,1,5,0.4703866666666654
66,13,4,0.3076923076923077,5,1,5,0.4703866666666654
43,14,5,0.35714285714285715,4,3,3,0.45949999999999835
74,14,6,0.42857142857142855,1,4,5,0.4585366666666651
4,10,4,0.4,2,4,2,0.4573433333333341
97,5,1,0.2,3,4,5,0.4551966666666646
103,13,4,0.3076923076923077,5,1,4,0.4544633333333321
120,10,2,0.2,5,1,4,0.4544633333333321
138,8,2,0.25,5,2,3,0.45291333333333456
9,13,6,0.46153846153846156,2,4,1,0.4437066666666669
81,16,9,0.5625,3,1,3,0.4341999999999993
132,9,5,0.5555555555555556,3,1,3,0.4341999999999993
96,15,4,0.26666666666666666,4,3,1,0.429103333333333
27,14,6,0.42857142857142855,3,1,2,0.42612666666666665
143,5,4,0.8,1,2,1,0.42465666666666857
45,10,5,0.5,3,1,1,0.4156400000000011
64,7,3,0.42857142857142855,3,1,1,0.4156400000000011
53,9,4,0.4444444444444444,3,1,1,0.4156400000000011
39,16,6,0.375,2,3,1,0.4034233333333348
94,15,3,0.2,4,2,3,0.39862333333333483
50,13,8,0.6153846153846154,2,2,3,0.39396333333333416
107,11,6,0.5454545454545454,1,3,1,0.37569333333333454
91,8,1,0.125,4,2,2,0.3721733333333331
11,14,4,0.2857142857142857,2,4,4,0.3713866666666666
54,7,2,0.2857142857142857,3,4,1,0.37064999999999976
130,8,2,0.25,3,4,1,0.37064999999999976
92,7,1,0.14285714285714285,1,5,5,0.3647466666666663
78,16,4,0.25,1,5,4,0.3444266666666668
73,7,1,0.14285714285714285,1,5,4,0.3444266666666668
47,16,3,0.1875,3,2,3,0.3418733333333348
82,16,4,0.25,2,5,1,0.3402933333333317
55,12,3,0.25,3,1,4,0.3298500000000009
21,12,2,0.16666666666666666,3,1,3,0.32255666666666793
90,18,4,0.2222222222222222,2,2,5,0.30874666666666806
147,14,2,0.14285714285714285,1,5,1,0.3051099999999992
136,16,4,0.25,1,4,3,0.29750333333333434
76,6,1,0.16666666666666666,3,1,2,0.28727666666666746
49,5,1,0.2,1,3,4,0.2738700000000001
99,6,2,0.3333333333333333,1,2,5,0.2636366666666668
150,19,7,0.3684210526315789,2,2,2,0.24806333333333355
104,14,4,0.2857142857142857,1,3,1,0.22864000000000018
62,15,1,0.06666666666666667,5,1,4,0.0
149,8,0,0.0,1,2,4,0.0
148,18,0,0.0,3,5,5,0.0
5,16,0,0.0,4,2,5,0.0
19,5,0,0.0,1,1,4,0.0
31,10,1,0.1,2,5,1,0.0
34,11,0,0.0,1,1,3,0.0
40,9,0,0.0,1,3,1,0.0
57,7,0,0.0,5,2,2,0.0
59,8,0,0.0,4,1,5,0.0
121,5,0,0.0,5,4,4,0.0
63,19,0,0.0,5,4,5,0.0
119,14,1,0.07142857142857142,5,5,5,0.0
67,19,2,0.10526315789473684,4,1,4,0.0
68,19,0,0.0,3,2,1,0.0
70,19,1,0.05263157894736842,3,2,2,0.0
71,14,0,0.0,1,1,3,0.0
75,8,0,0.0,4,3,4,0.0
83,16,0,0.0,2,2,1,0.0
84,19,1,0.05263157894736842,1,5,5,0.0
95,16,0,0.0,1,5,3,0.0
127,5,0,0.0,1,5,2,0.0
137,10,0,0.0,1,1,5,0.0
