worker_id,tasks_assigned,tasks_completed,completion_ratio,avg_difficulty,locality_rating,citizen_rating
1,11,3,0.273,5,3,5
2,9,6,0.667,2,3,3
3,15,7,0.467,5,4,3
4,10,4,0.4,2,4,2
5,16,0,0.0,4,2,5
6,16,16,1.0,3,3,2
7,16,15,0.938,3,4,4
8,13,2,0.154,5,3,5
9,13,6,0.462,2,4,1
10,16,13,0.812,2,2,1
11,14,4,0.286,2,4,4
12,19,6,0.316,4,5,3
13,18,16,0.889,4,2,4
14,6,5,0.833,2,4,5
15,19,17,0.895,2,4,2
16,14,13,0.929,4,4,1
17,18,7,0.389,5,5,2
18,19,12,0.632,1,5,5
19,5,0,0.0,1,1,4
20,12,7,0.583,3,3,1
21,12,2,0.167,3,1,3
22,9,9,1.0,2,1,4
23,11,8,0.727,4,2,1
24,11,6,0.545,5,3,4
25,12,5,0.417,3,3,1
26,7,4,0.571,3,1,5
27,14,6,0.429,3,1,2
28,14,11,0.786,5,3,1
29,8,3,0.375,5,5,3
30,17,3,0.176,5,3,3
31,10,1,0.1,2,5,1
32,9,5,0.556,4,4,4
33,16,10,0.625,2,4,1
34,11,0,0.0,1,1,3
35,18,12,0.667,1,3,3
36,13,13,1.0,5,1,3
37,14,11,0.786,3,1,4
38,5,5,1.0,1,2,4
39,16,6,0.375,2,3,1
40,9,0,0.0,1,3,1
41,6,1,0.167,4,5,1
42,5,2,0.4,2,5,4
43,14,5,0.357,4,3,3
44,5,5,1.0,5,4,2
45,10,5,0.5,3,1,1
46,16,5,0.312,5,3,4
47,16,3,0.188,3,2,3
48,19,18,0.947,4,4,1
49,5,1,0.2,1,3,4
50,13,8,0.615,2,2,3
51,11,11,1.0,2,1,4
52,16,16,1.0,2,1,4
53,9,4,0.444,3,1,1
54,7,2,0.286,3,4,1
55,12,3,0.25,3,1,4
56,10,7,0.7,4,3,1
57,7,0,0.0,5,2,2
58,6,5,0.833,3,5,1
59,8,0,0.0,4,1,5
60,8,7,0.875,3,1,1
61,16,13,0.812,5,3,3
62,15,1,0.067,5,1,4
63,19,0,0.0,5,4,5
64,7,3,0.429,3,1,1
65,16,13,0.812,5,3,4
66,13,4,0.308,5,1,5
67,19,2,0.105,4,1,4
68,19,0,0.0,3,2,1
69,14,14,1.0,2,3,2
70,19,1,0.053,3,2,2
71,14,0,0.0,1,1,3
72,10,6,0.6,5,2,2
73,7,1,0.143,1,5,4
74,14,6,0.429,1,4,5
75,8,0,0.0,4,3,4
76,6,1,0.167,3,1,2
77,19,16,0.842,4,2,3
78,16,4,0.25,1,5,4
79,16,11,0.688,5,4,5
80,8,2,0.25,4,5,2
81,16,9,0.562,3,1,3
82,16,4,0.25,2,5,1
83,16,0,0.0,2,2,1
84,19,1,0.053,1,5,5
85,5,4,0.8,5,5,3
86,16,15,0.938,3,5,1
87,17,13,0.765,4,5,1
88,18,13,0.722,4,5,4
89,14,9,0.643,5,4,1
90,18,4,0.222,2,2,5
91,8,1,0.125,4,2,2
92,7,1,0.143,1,5,5
93,8,7,0.875,2,1,4
94,15,3,0.2,4,2,3
95,16,0,0.0,1,5,3
96,15,4,0.267,4,3,1
97,5,1,0.2,3,4,5
98,17,11,0.647,2,5,3
99,6,2,0.333,1,2,5
100,14,9,0.643,2,2,3
101,13,6,0.462,4,2,5
102,6,4,0.667,3,5,4
103,13,4,0.308,5,1,4
104,14,4,0.286,1,3,1
105,7,7,1.0,4,2,1
106,11,7,0.636,5,4,1
107,11,6,0.545,1,3,1
108,18,16,0.889,1,4,1
109,10,10,1.0,3,1,4
110,16,8,0.5,3,4,1
111,11,11,1.0,4,3,2
112,19,15,0.789,5,5,3
113,16,3,0.188,5,1,5
114,9,9,1.0,2,2,5
115,7,6,0.857,5,3,3
116,6,6,1.0,4,1,2
117,14,11,0.786,1,5,5
118,12,9,0.75,1,2,3
119,14,1,0.071,5,5,5
120,10,2,0.2,5,1,4
121,5,0,0.0,5,4,4
122,10,2,0.2,5,4,3
123,14,9,0.643,3,3,5
124,17,17,1.0,4,2,4
125,16,7,0.438,5,1,1
126,7,4,0.571,4,1,4
127,5,0,0.0,1,5,2
128,16,12,0.75,5,5,5
129,10,4,0.4,3,4,5
130,8,2,0.25,3,4,1
131,6,6,1.0,1,1,1
132,9,5,0.556,3,1,3
133,16,9,0.562,4,4,5
134,12,9,0.75,4,4,2
135,12,9,0.75,4,2,4
136,16,4,0.25,1,4,3
137,10,0,0.0,1,1,5
138,8,2,0.25,5,2,3
139,9,8,0.889,2,2,2
140,15,12,0.8,5,1,1
141,6,6,1.0,1,3,5
142,14,14,1.0,1,3,3
143,5,4,0.8,1,2,1
144,7,6,0.857,1,5,4
145,5,4,0.8,5,3,5
146,11,4,0.364,5,5,2
147,14,2,0.143,1,5,1
148,18,0,0.0,3,5,5
149,8,0,0.0,1,2,4
150,19,7,0.368,2,2,2
